ID	Topic	Text	Sentiment
1	general	Twit twit twit. Time to crean my room till drugs set in... I cut up anothrr shirt! 	positive
2	general	@Bethaneystone Ohh good.. im not going quite yet.. i shall let you know  so stuck with me a little longer haha, xo	positive
3	general	@KehoeFromReno NO WAY!!! That's an inspiring song!  Itz my ringtone haha	positive
4	general	@VixieManic not yet  I did think of him when I took this though http://bit.ly/16w7Vn	negative
5	general	Fair week starts tomorrow PUMPED! Babe made it to Kansas but i still dont know if hes coming home! Praying like no other  I MISS HIM	negative
6	general	thanks to everyone who's following me. i dont have many though., hehehe.. 	positive
7	general	@AshleyLTMSYF   PCD stood TAIWAN  up!!! 	negative
8	general	@I #iRemember when I was 10 years-old, my penis was only a measly 10 inches long. Ladies... what's up? XO 	positive
9	general	@yoyonb87 tehe. It was on the 9th 	positive
10	general	Just taken Dad to the Train station  worst part is always saying bye - again - now sat watchin the City 	negative
11	general	@AceConcierge But dwelling on either one causes us to miss all the wonderful things happening right now 	positive
12	general	@Knittygrittygrl Well, I'll be darned, fancy meeting you here!   Do you have your LA dates set?	positive
13	general	I hear owwie noises coming my tummy  owwie! I don't feel good! Nope not good at all.	negative
14	general	getting ready for dance recital. 	positive
15	general	@highgateboy awesome  are you eating out today? I will be at stjohn or lunch 	positive
16	general	@zezel Great job nassim, add me as a friend on soup.io 	positive
17	general	today was not a good day...  serving half of my community service hours tomorrow 9am-2. then work 4-11. yay	negative
18	general	actually gettin braces on july 6th 	negative
19	general	So tired. Just got home. Playing with Gucci. 	positive
20	general	dmv license line...longer then longcat...registration line? short 	positive
21	general	@freyaalexandra aww why?  Come on msn xx	negative
22	general	The children's choir learned an awesome lesson today 1st service. Its not about you the Holy Spirit conducts the order of the service. 	positive
23	general	Lmao. Im still creasing at what Mrs Leppan said to me yesterday. Thank god i dont have english today. Lmao 	positive
24	general	Electricity is seriously fucked up. no air conditioning. no internet. need to spend day cleaning for electrician. 	negative
25	general	@rlich8 couldn't find you. 	negative
26	general	 Argh, the speakers on my Macbook are screwing up, and slowly dying.	negative
27	general	@mileycyrus the videoshoot was so much fun ! i think i saw something going on between you and NJ. see yea tmrw at the airport 	negative
28	general	@BlackCat_Saya Arigatou 4 following !!!!  	positive
29	general	Cook out with the fam!   Tweet Tweet	positive
30	general	@RyanSeacrest they need to do an american idol for older folks one year so i can enter heh heh i was too old since the beginning 	negative
31	general	going to the movies  first time in ages	positive
32	general	@technokitten there used to be loads of mobile stuff too, but Bosch sold to Siemens who shut down; Moro shut down too 	negative
33	general	another lovely night with the boy 	positive
34	general	so sleepy.... *yawn* not sure if i can stay up any longer... wish the BF was here for sleepies and snuggles... boo. 	negative
35	general	@heatherXpink The one thats all stripey in the background and has the songs all round it  haha I didnt have room for them all!	positive
36	general	@mdrios ahh i just tried to youtube the clip, and viacom already took it down! 	negative
37	general	DAMN, thats the 1st iphone app i've evr been jealous of    @souljaboytellem	negative
38	general	@thecamerokid ~noooooo! U bet not! 	negative
39	general	Been at it since 6:30am. Got only 2 hours of sleep  and have like 3 more meetings to go. Hustle Hustle Hustle is the name of this game! &lt;3	negative
40	general	Examen de marde en chimie 	negative
41	general	@Andiereid thanks sweets, when my little sis is struggling, its like one of my kids struggling 	negative
42	general	Oops the cat just walked across  my keyboard and sent the last message  before I had finished editing it! 	negative
43	general	learning &quot;wooden heart&quot; by elvis on my harmonica! It's really easy tbh! 	positive
44	general	Ahhhh, teeeeeth are in pain 	negative
45	general	@turnitgrey oh gosh. I didn't think you were that old. oh well I'll still like you when your 25  hahaha.	positive
46	general	gd mornin world. i hav a cold.. my throat is burnin! 	negative
47	general	@craigyd is it the Thompson router? If so expect to do that a LOT 	negative
48	general	girls state stuff. getting ready. seeing WOW. text. 	positive
49	general	@_jennnn Thanks  @devanlane Haha yeah. I know what happens but I'll still be prepared.	positive
50	general	hat Post aus Stuttgart von @Rozana 	positive
51	general	@marginatasnaily Morning!  Enjoy this sun and tan my white bits!!  LOL   You?	positive
52	general	Working hard on my animation but i need voice actors 	negative
53	general	@heystephanie do you have any invites for #spymaster you can give out? 	positive
54	general	Happy. @peterpan_ made one of my life dreams come true today!  Thank u and the raaaain :*	positive
55	general	http://twitpic.com/4wff3 - Got these pretty sweet stickers from @refyousuck 	positive
56	general	@GlockednLoaded Molon Labe doesn't just apply to guns, you know. 	positive
57	general	@JohnPiper nice to follow you on twitter, does this mean you are going to take Mark Driscoll's offer for him to buy you a tv next ? 	positive
58	general	 It's always great to hear from old friends....even if it is late at night	positive
59	general	@gnomeangel O.o i watched that yesterday hehe, its a good girly film 	positive
60	general	hasn't had time to plurk lately...feeling left out  http://plurk.com/p/wwmr1	negative
61	general	someone stole ny cell phone 	negative
62	general	http://bit.ly/Q3o2N  just listen to it Demi is amaizing 	positive
63	general	@Bunnywoomble  hey get you 'Degree complete Girl' 	positive
64	general	Boredom...Guess i better go over my lines for this week lol...OR listen to Zachary Quinto talk in his interviews 	positive
65	general	i slept from 9pm-6:20am my body so needed it now rushing to get my photo printed and to get to class at 8am 	negative
66	general	says http://tinyurl.com/q3pv7g (the last titanic survivor) died on my 19th birthday  http://plurk.com/p/y1smx	negative
67	general	@japanesebeard I love you. 	positive
68	general	my eyeglasses are broken 	negative
69	general	I forgot to say &quot;GOOD MORNING&quot;  or afternoon	positive
70	general	@PRCog iPhone coverage in downtown Chicago is fine - I haven't had a single issue. Not NYC, but still a city with alotta buildings 	positive
71	general	http://twitpic.com/5d3rk - @tommcfly Look at what I've found today !  Who ya gonna call? GHOSTBUSTERS!	positive
72	general	freshly squeezed lemon juice  i like.	positive
73	general	giddy like a school girl 	positive
74	general	cant go to alisons  damn it.	negative
75	general	Woops! a bit sunburnt. oh well. It was so relaxing. in the sun, listening to the Hush Sound, and making daisy chains. you can't beat it 	positive
76	general	Ughh! DJ &amp; The Fro is on  This show is so awful it makes me want to snap kitten necks. I guess that's the opposite of laughter?	negative
77	general	@MoviesOnTCM How many votes does it take to this happen? I have friends who have done this(incl me) already. We are poised &amp; ready to buy 	positive
78	general	Woof, Woof! Kiso's Korner is back  Kiso says show everyone how much you care about us with this cute sign! http://tinyurl.com/dz55jy	positive
79	general	i cut my finger!! and its deep...  http://plurk.com/p/xah7d	negative
80	general	@pieeetr You flattened me 	positive
81	general	1,I'll miss you  &amp; Carrie 2,Double Your Money in 30 Days With Fap Tubr Forex! http://bit.ly/Gn82C8	negative
82	general	@thirstinkirstin Ugh ok. But its all gas 	negative
83	general	My mom said shed go to a wbtbwb show with me --- &amp; sing along 	positive
84	general	Being bored as crap!  lol	negative
85	general	@vmcosta Thanks for the feedback, appreciated 	positive
86	general	job hunting is so STRESSFUL 	negative
87	general	@TGAband please follow me 	positive
88	general	Watching Mock the Week DVD again  love it.	positive
89	general	@covergirl_76 got it thanks will dm u when i get hme frm work! 	positive
90	general	offline 	negative
91	general	why  do exams exist why cant they just give us a take home exam that was so much better last year  write and essay and done no revision	negative
92	general	You know you ride your bike a lot when you get a tan line on your face from the helmet strap. 	negative
93	general	@riandawson aw dont leave  have fun in sydney but come back over here. how was your last night??	negative
94	general	@Stace3811 I'm sorry you aren't having a good day.  cheer up though, your day doesn't define you...	negative
95	general	@spiderogumi_ Join the club matey 	negative
96	general	been up since 2:30 AM ... another night of only 3 hours sleep. Getting &quot;tired&quot; of insomnia 	negative
97	general	Hiding out to avoid muster drill 	positive
98	general	@electrolite82 Nope. But listening to it on Spotify as I type http://open.spotify.com/album/4v8fleThkidEttSVVdle6p Sounds good so far. Ta 	positive
99	general	@islanddogdoc  oh yeah 	positive
100	general	Of course I had to be sick yesterday  Feeling A LOT better tho!	negative
101	general	@alejandroz 140 characters or less?: Why not join it. 	positive
102	general	@AshleyNKOTBfan Thanks.  It was kind of hard, it was kind of easy.  I probably got below a 90.    I got a 99 on History!    I hate that!	negative
103	general	@Pam97 Hi Pam!  I'm writing too!  HAPPY FRIDAY!! 	positive
104	general	Dear new followers, I've not forgotten you. I'm not ignoring you. I'm behind. Tweet me a time or three and get my attention. 	positive
105	general	http://okimok.com/people/mutz - satan was present in stupid discoteque 	negative
106	general	I was completely a Flawless girl tonight, but Diversity, Shaheen and Stavros have converted me  If SuBo wins I'll be gutted, its a fix!	positive
107	general	@intenselove Woman! Shopping tomorrow! 	positive
108	general	I am up way too early - I didn't sleep a wink last night 	negative
109	general	Desertfae- please come back to the BND forum, I am a mod there now! 	positive
110	general	@faiththiang is the coolest person here. Love @lolkate18 	positive
111	general	@REALmrsjoejonas lol  i haven't had it since like.....uh....7th grade hahahaha i feel so old!	positive
112	general	18 days till @voidboi and I leave for San Francisco! 	positive
113	general	@Thariamon  take it easy, sana sana 	positive
114	general	Damn AT&amp;T on my nerves. Been on phone for over an hour. They suck 	negative
115	general	it was a rainy day. uh. so love coldy nights. i just wish he was here right beside me, lying together.  i miss you baby!!! 	negative
116	general	Epic fail @ the gym today. Took 3 tries to put up 200 lbs. Hadn't eaten since 9pm yesterday. Serves me right for putting off Nom-Noms. 	negative
117	general	had a fantastic day/night with her love...thrift store shopping, mall, starbucks, board games, nice convos, pizza, and cinnamon rolls! 	positive
118	general	@cobbie369 Just read that you'd commented about it! He looks peculiar! 	negative
119	general	Just off 2 town to see star trek again- chris pine a zac q MMM 	positive
120	general	@causeaholic Just a real wet summer for all of us I guess. 	negative
121	general	I'm one big bug bite.  and ohhh so exhausted. Want to stay but it's time to go home  see you again soon hick ville!	negative
122	general	@TheBoffin67 How *incredibly* shite. That's a total bummer 	negative
123	general	Im glad that i didn't break my knee! But it sure feels like i did 	negative
124	general	@AndrewBlanda running (outside) not on dreadmill keeps me happy!! 	positive
125	general	Sucks! Haven't recovered yet, so I can't join the parade  Hmfft. Was looking forward for it 	negative
126	general	After crackers for dinner, 3 hour church service, and a bucket shower, we call it a day.  An 18 hour day, that is.	positive
127	general	@brittanicorrine girl you know it, we'll tell@juantwothree to go to western beverages to get us his favorite liquor vodka and share 	positive
128	general	My computer is on its last legs. 	negative
129	general	@dontforgetchaos i found cat shit this morning  not good on a hangover	negative
130	general	sinus infection, hating amoxicillin, but happy to be planning surprises! back to o-town today. 	positive
131	general	@van94 naaaa! im sure stilettos is more expensive. maybe they cant afford it. cheap budget. LOL. 	positive
132	general	Yay we are now leaving the party, but i didn't have cake 	negative
133	general	Hope it is resolved as best as something like this can be 	negative
134	general	On my way to work. Booooo! 4 days til Britney Spears Yayyyy! 	positive
135	general	@Dancer4Life13 See you later 	positive
136	general	At Denver, delayed. 	negative
137	general	@zachcumer you've been ignoring my tweets all night so far   I'm fine at the mo... If not alittle upset with you...	negative
138	general	Leaving for the airport. Tried to beam there like Star Trek but it didn't work. Guess I'll get on the fucking plane. 	negative
139	general	started my leave and am confused what i should do fast.I can seem to sleep past 7am.Why  .Anyway may try to read up on some networkin.	negative
140	general	went to 2 movies over the weekend - Observe &amp; Report and The Knowing... both good. 	positive
141	general	I'm not sure about this twitter thing. I don't like these people I don't know trying to follow me. 	negative
142	general	Wishing all Tweeps a great Sunday from my corner of the Twitterverse 	positive
143	general	@ceruleagos I woke up to phone going off. I looked, and I responded apparently... Then passed back out.  sorry 	negative
144	general	waiting to watch the Wings for an hour then the movie awards!! Is it pathetic that I look forward to them all year long? 	positive
145	general	i art design  yay !	negative
146	general	@Marquann omg dude! I forgot! I have to go to the orthodontist soon! NOOOOOO! I might have to get braces too!  I forgot all about it :'(	negative
147	general	&quot;@mileycyrus&quot;you are the best!!!! I love you  can you give me your e-mail??? I want to write with you but I cant 	negative
148	general	Hahaha screw you verizon 	positive
149	general	@shari my flight's at midnight, for now I'm ironing, packing and defrosting my fridge 	positive
150	general	@jasmineesrey i love all 16 of them. thats right. maybe 18. minus. j.j. haha. 	positive
151	general	@frannnyyyrulez man i wish i could go. 	negative
152	general	@sparkysgirl bear honey is adorable 	positive
153	general	finally i have my radio active cd.............ORIGINAL!!!!! i so happy!!!!!!   LOVE YA ALL!!!!	positive
154	general	Has a killer headache 	negative
155	general	ooh my icecream's gone  oh no wait i got another 2 boxes on the freezor! yumm	negative
156	general	You can't find nothing at all, if there was nothing there all along 	negative
157	general	http://twitpic.com/7xru7 - @t3sss hermie misses his partner in crime and i miss my bgf 	negative
158	general	What a busy day.  Afternoon was spent in the sprinkler 	positive
159	general	Only I could end up on a long weekend call when I am not on call  So much for it's the weekend woo hoo.	negative
160	general	Bummed the spurs lost! 	negative
161	general	Im eating my Cornflakes without milk  its disgusting , hahah.	positive
162	general	so glad for Twitter because even when I can't be at church, I can still get The Word!! 	positive
163	general	#EU09 I'm voting Green Party 	positive
164	general	@eskemoiain I gotta second andy on that...you really do gotta love erm. 	positive
165	general	I hate to have to go jogging. My couch also says: Lie down to me 	positive
166	general	@RealLamarOdom BEYOND READY  are you ready?  LOL. candymannn!	positive
167	general	@Sum41Official I want you in middle of Europe! 	positive
168	general	working out in 90 degrees 	positive
169	general	@dannews SOME people are never happy!  Actually I'm in a NEED coffee mood. Have to get this done so I can take my girls out for a coffee	positive
170	general	ahhh  the sun is shining! it's gonna be a good day, gonna cut my hair later (Y)	positive
171	general	@itsshotime omg im so jealous .... i wish my friend missed me 	negative
172	general	That's intense! 	positive
173	general	@heenim Oooh you finally got to watch it?  Was it good?	positive
174	general	Holy shit there is a huge spider in my room and it is now hiding behind my dresser 	negative
175	general	chce spinkat 	positive
176	general	@mcflyharry Harry, says 'hi carol', pleaseeeeeeee, i beg i beg, i cry so much ( please please I LOVE YOU SO MUCH (( answer me. aah  6	negative
177	general	Stress is shadowing my excitement :/ 	negative
178	general	@sally_field we will have to 1 day haha chamagine is always nice 	positive
179	general	Off to do the usual Saturday errand running. 	negative
180	general	@Tamarzipan dunno...just my mums card...my mum didnt buy me it.... 	negative
181	general	Dodgers won.  but I was on the jumbotron. So I guess it evens out.	negative
182	general	Pleasure to have good response frm my fam. Thats my present for you mom. Happy 45th 	positive
183	general	@kescheler you are very welcome! Thx for hanging with us last night!  #twitteratl	positive
184	general	@burdenday For the last week, ive dreamt of being late to work. 	negative
185	general	don't have any more money on my phone  have to top up	negative
186	general	Gettin ready for work 	negative
187	general	Tomorrow---Vienna!!! Yahoo! will be fun^^  and NO school 	positive
188	general	Ugh I'm not tired at all 	negative
189	general	aaaah just remembered the exploding whale news piece hee hee  http://tinyurl.com/d7tu4a	positive
190	general	@franchize823 29 years yunggg lOL 	positive
191	general	hmm, people arent seeming to be finding my may favorites! 	negative
192	general	is going back to work... not too happy!! 	negative
193	general	Intel graphics are a pain to get to place nice with Xorg... 	negative
194	general	my dog abandoned me this morning... 	negative
195	general	@captaincursor 	negative
196	general	chilling in the study lounge with megan on her last day here 	negative
197	general	@carlmayer You are getting old aren't you Carl?? 	positive
198	general	... A kidney stone. Really?? Ugh  http://tinyurl.com/qsw9vq	negative
199	general	Its sunday..... 	negative
200	general	Detroit... Tired? I don't think so! Great game tonight 	positive
201	general	@Art_Advisor same to you, enjoy and make it your best!! 	positive
202	general	*is studying* felt like my brain exploded *points to floor* see there it is 	positive
203	general	waiting in the disney parking lot for nadolee... oh how i wish i can go into the park  such a tease!!	negative
204	general	so tired 	negative
205	general	Everyone is having babies now.  Im feeling old 	negative
206	general	Link: my vimeo. - think YouTube is overrated? use Vimeo!  http://tumblr.com/xsm224o5y	positive
207	general	@pennycat pennycat...what happened to you 	negative
208	general	@amerz Hey! Hi! How are you?! 	positive
209	general	I'm off. Dad's gonna use the PC. Nightz.  http://plurk.com/p/vhec2	positive
210	general	if bill compton has wii, why can't he have twitter? 	negative
211	general	@miguelstdancer i really think @timmcfly is so addicted to Star Wars that he knows all the lines!It may not matter if its in spanish!haha 	positive
212	general	California ! Anyone wanna let me stay with them for a little bit?  i need to get outta here.	negative
213	general	Can't seem to sleep 	negative
214	general	@YaliMarie ; lol I don't even have a car to go to work  haha but ill save you some 	positive
215	general	''the lamp'' get's a yellow card! 	negative
216	general	@Smarties67  Sorry.	negative
217	general	Woo~ So my costume is done  It looks kinda KICK ASS. Make up will be the final touch. Bwuahahahaha RAWR	positive
218	general	homework on a friday night...lame 	negative
